"id" "birth_rate"	"death_rate"	"continent"
"168"	25.5	6.7	"Oceania"
"169"	14.5	9.6	"Americas"
"170"	17.2	5.5	"Africa"
"171"	16.8	5.7	"Asia"
"172"	21.3	8.8	"Asia"
"173"	23.6	8.7	"Oceania"
"174"	43.2	9.2	"Africa"
"175"	10.8	15.1	"Europe"
"176"	14.5	1.1	"Asia"
"177"	12.2	8.9	"Europe"
"178"	13.2	8.4	"Americas"
"179"	14.5	9.1	"Americas"
"180"	21.5	6.4	"Asia"
"181"	26.6	4.5	"Oceania"
"182"	15.5	5.8	"Asia"
"183"	31.1	6.7	"Asia"
"184"	42.8	9.7	"Africa"
"185"	31.3	9.8	"Africa"
